367
104.17.183.118	10764	9956
104.154.198.228	10492	9835
159.178.108.111	9988	9848
187.237.14.200	9730	9747
159.178.102.100	9529	8733
52.84.76.175	9450	9450
159.178.237.53	9391	9681
70.187.95.95	9389	9510
103.26.37.253	9329	9324
165.215.209.15	8986	8982
96.7.182.150	8924	8364
88.231.33.95	8904	8968
54.230.161.109	8903	8673
73.224.42.241	8756	8910
159.178.137.117	8498	7581
23.202.88.31	8462	8462
159.178.107.44	8425	8698
104.92.17.82	8392	8390
66.249.64.14	8244	7701
36.149.34.22	8090	12
216.52.195.182	8090	8584
149.169.208.76	8080	8030
157.55.39.140	8044	8058
27.33.34.78	8007	5
24.146.232.25	8006	20
8.27.160.227	7984	7272
91.198.117.247	7924	7394
69.252.101.144	7914	7763
128.227.112.222	7865	7904
104.16.89.188	7667	7867
129.171.150.79	7624	922
172.217.8.80	7584	7187
34.206.148.175	7422	7485
98.18.16.218	7404	6944
156.154.65.196	7386	7597
159.178.112.71	7321	7315
174.70.89.126	7291	7291
209.126.123.11	7277	12
208.78.71.15	7197	859
68.64.22.136	7186	7262
71.6.146.185	7172	6808
98.18.150.191	7164	6714
159.178.115.102	7153	7063
159.178.129.112	7094	7011
159.178.139.104	7092	66
112.198.103.2	7092	6652
40.76.218.33	7081	5386
63.251.240.12	7076	7380
194.132.217.38	7076	12
24.250.153.186	7076	288
66.235.133.70	7076	26
73.224.76.160	7030	6946
107.77.235.135	6994	956
157.48.14.42	6951	588
192.210.199.106	6800	7374
159.178.129.91	6765	6783
95.101.36.67	6673	6666
54.208.16.183	6623	65
159.178.100.162	6584	6392
104.92.16.146	6565	5571
35.190.151.98	6477	5524
54.192.205.183	6433	6537
209.112.113.33	6405	6487
99.166.162.58	6371	5530
198.245.89.70	6316	6296
171.161.207.200	6239	6136
167.68.20.174	6172	5423
66.231.139.112	6161	5862
23.227.137.130	6134	733
66.231.129.214	5958	3010
178.33.214.223	5952	5946
116.74.202.15	5934	2
103.18.19.254	5922	2
207.46.13.156	5882	5892
64.33.175.153	5875	7
159.178.32.133	5875	5890
159.178.100.84	5872	5867
159.178.109.180	5739	5744
208.75.123.135	5731	836
208.80.125.4	5714	4966
203.130.50.2	5714	525
159.178.108.48	5696	6501
69.172.201.238	5694	5690
188.184.36.52	5683	4904
204.74.115.1	5681	5681
66.87.114.206	5629	5722
85.18.102.240	5600	4
54.192.205.60	5600	5543
52.55.157.156	5584	42
139.162.113.212	5558	1362
172.56.27.212	5558	773
66.155.167.130	5552	20
218.191.16.154	5552	2
96.7.49.194	5493	5139
209.73.179.8	5493	5108
149.111.148.27	5422	5421
23.15.61.170	5393	5396
212.227.17.4	5376	5356
54.67.57.25	5361	4848
113.53.100.78	5342	4
